Season,Model,Accuracy,F1,AUC,FPR,FNR,Time_s
2005,Dummy Baseline,0.6078147612156295,0.37803780378037805,0.5,1.0,0.0,0.001
2005,Logistic Regression,0.532561505065123,0.5301012040481619,0.566458003865753,0.4132841328413284,0.5023809523809524,0.005
2005,Decision Tree,0.492040520984081,0.4911442598187311,0.5239006765067651,0.3191881918819188,0.6297619047619047,0.004
2005,K-Nearest Neighbors,0.5998552821997105,0.43840251961468,0.5550474433315762,0.9188191881918819,0.06547619047619048,0.09
2005,Random Forest,0.5448625180897251,0.5430516386268598,0.5697197329116148,0.3856088560885609,0.5,0.324
2006,Dummy Baseline,0.595900439238653,0.37339449541284403,0.5,1.0,0.0,0.001
2006,Logistic Regression,0.5563689604685212,0.5472368075610397,0.5746692839084144,0.48731884057971014,0.414004914004914,0.004
2006,Decision Tree,0.5307467057101025,0.5302812553142067,0.575559502189937,0.30434782608695654,0.581081081081081,0.005
2006,K-Nearest Neighbors,0.5922401171303074,0.43110016471927065,0.568138420040594,0.9257246376811594,0.056511056511056514,0.091
2006,Random Forest,0.5563689604685212,0.5468481764355534,0.5816018587757718,0.49094202898550726,0.41154791154791154,0.28
2007,Dummy Baseline,0.6091445427728613,0.3785517873510541,0.5,1.0,0.0,0.001
2007,Logistic Regression,0.5973451327433629,0.5866619919920144,0.6238818584677235,0.44150943396226416,0.37772397094430993,0.005
2007,Decision Tree,0.5899705014749262,0.5844708994708995,0.5963486225958244,0.39245283018867927,0.4213075060532688,0.007
2007,K-Nearest Neighbors,0.6216814159292036,0.4666963104935314,0.6058111380145279,0.8943396226415095,0.04721549636803874,0.103
2007,Random Forest,0.5943952802359882,0.5874452360932867,0.6203321302937549,0.4056603773584906,0.40556900726392253,0.291
2008,Dummy Baseline,0.6069868995633187,0.37771739130434784,0.5,1.0,0.0,0.001
2008,Logistic Regression,0.5946142649199417,0.5864547529026649,0.6261257660538236,0.4222222222222222,0.39448441247002397,0.005
2008,Decision Tree,0.5531295487627366,0.5528870308853053,0.6048128164135359,0.32592592592592595,0.5251798561151079,0.007
2008,K-Nearest Neighbors,0.6142649199417758,0.4780054362785577,0.6030109245936583,0.8685185185185185,0.07314148681055156,0.113
2008,Random Forest,0.5967976710334789,0.5882471309134341,0.609769961808331,0.42407407407407405,0.38968824940047964,0.31
2009,Dummy Baseline,0.598981077147016,0.37460172963131544,0.5,1.0,0.0,0.002
2009,Logistic Regression,0.5676855895196506,0.5608031461148194,0.6015881871688061,0.4482758620689655,0.42162818955042525,0.006
2009,Decision Tree,0.5735080058224163,0.5657198951467621,0.5989231993966564,0.4519056261343013,0.4094775212636695,0.008
2009,K-Nearest Neighbors,0.6077147016011645,0.48958720291118607,0.5945602053484992,0.8421052631578947,0.0911300121506683,0.15
2009,Random Forest,0.574235807860262,0.5673773256180075,0.598853735503547,0.44101633393829404,0.4155528554070474,0.399
2010,Dummy Baseline,0.6109489051094891,0.3792478477571364,0.5,1.0,0.0,0.001
2010,Logistic Regression,0.57007299270073,0.5624353695681291,0.5857289838407069,0.4371482176360225,0.4253285543608124,0.01
2010,Decision Tree,0.5591240875912409,0.5557154362416108,0.5836981446737544,0.39399624765478425,0.47072879330943845,0.015
2010,K-Nearest Neighbors,0.6043795620437956,0.480986610525374,0.5782982643722219,0.849906191369606,0.1063321385902031,0.225
2010,Random Forest,0.5715328467153284,0.5649120642912366,0.5837900479914642,0.42401500938086306,0.43130227001194743,0.519
2011,Dummy Baseline,0.5946969696969697,0.37292161520190026,0.5,1.0,0.0,0.002
2011,Logistic Regression,0.5861742424242424,0.5804826696557386,0.60057518304661,0.4205607476635514,0.40923566878980894,0.016
2011,Decision Tree,0.5785984848484849,0.5747080144985904,0.607787293886541,0.40420560747663553,0.43312101910828027,0.025
2011,K-Nearest Neighbors,0.6107954545454546,0.49539536176144705,0.5879535240192868,0.8364485981308412,0.08439490445859872,0.284
2011,Random Forest,0.5738636363636364,0.5691890382544178,0.5983094231799513,0.4205607476635514,0.4299363057324841,0.569
2012,Dummy Baseline,0.6135865595325055,0.38026256224535987,0.5,1.0,0.0,0.002
2012,Logistic Regression,0.5763330898466034,0.5671877725449154,0.6021109010712035,0.44234404536862004,0.4119047619047619,0.018
2012,Decision Tree,0.5712198685171658,0.5646639078148388,0.5837159060221443,0.41965973534971646,0.43452380952380953,0.026
2012,K-Nearest Neighbors,0.6157779401022644,0.49042261096014494,0.5811279143037177,0.8449905482041588,0.09404761904761905,0.348
2012,Random Forest,0.5763330898466034,0.5673745417772722,0.5979003510667027,0.44045368620037806,0.41309523809523807,0.591
2013,Dummy Baseline,0.5799418604651163,0.3670653173873045,0.5,1.0,0.0,0.002
2013,Logistic Regression,0.5784883720930233,0.571638666738232,0.5992077945729376,0.4619377162629758,0.39223057644110276,0.017
2013,Decision Tree,0.5741279069767442,0.5675267474614851,0.5840834785926754,0.46366782006920415,0.39849624060150374,0.027
2013,K-Nearest Neighbors,0.592296511627907,0.46998980401042256,0.5847512379564828,0.8667820069204152,0.07518796992481203,0.372
2013,Random Forest,0.5719476744186046,0.5631748386154425,0.5932434893462029,0.48788927335640137,0.38471177944862156,0.593
2014,Dummy Baseline,0.5742501828822238,0.36477695167286245,0.5,1.0,0.0,0.002
2014,Logistic Regression,0.598390636430139,0.5948383230623466,0.6363845295160548,0.4072164948453608,0.3974522292993631,0.018
2014,Decision Tree,0.5932699341623994,0.5753254125766597,0.6068104712500274,0.5446735395189003,0.30445859872611464,0.03
2014,K-Nearest Neighbors,0.5932699341623994,0.5020832459854933,0.6218541379385821,0.8058419243986255,0.11082802547770701,0.411
2014,Random Forest,0.60424286759327,0.5991556516003216,0.6405104296627049,0.422680412371134,0.37579617834394907,0.592
2015,Dummy Baseline,0.5973645680819912,0.37396883593033914,0.5,1.0,0.0,0.002
2015,Logistic Regression,0.5695461200585652,0.5617667085690341,0.5940218360071301,0.4581818181818182,0.4117647058823529,0.014
2015,Decision Tree,0.5746705710102489,0.5661892072862433,0.590960338680927,0.46,0.4019607843137255,0.031
2015,K-Nearest Neighbors,0.5995607613469985,0.47809244416505137,0.5680592691622105,0.8545454545454545,0.09436274509803921,0.331
2015,Random Forest,0.5775988286969254,0.5642598689211564,0.5921613190730838,0.5,0.3700980392156863,0.572
2016,Dummy Baseline,0.5787139689578714,0.36657303370786515,0.5,1.0,0.0,0.002
2016,Logistic Regression,0.5617147080561715,0.5559620851926483,0.578544061302682,0.46842105263157896,0.4163473818646232,0.013
2016,Decision Tree,0.5521064301552107,0.5491805261699385,0.5702348143666958,0.44035087719298244,0.45338441890166026,0.026
2016,K-Nearest Neighbors,0.5831485587583148,0.44825342287469416,0.5636575474446013,0.8947368421052632,0.06896551724137931,0.286
2016,Random Forest,0.5580192165558019,0.5490321760766232,0.5779816719320652,0.5052631578947369,0.3959131545338442,0.531
2017,Dummy Baseline,0.5840840840840841,0.3687203791469194,0.5,1.0,0.0,0.001
2017,Logistic Regression,0.6006006006006006,0.5913884250246797,0.6240777518955388,0.4584837545126354,0.35732647814910024,0.013
2017,Decision Tree,0.5758258258258259,0.5740914397801018,0.6099946173192392,0.3844765342960289,0.4524421593830334,0.021
2017,K-Nearest Neighbors,0.5960960960960962,0.4758437074854811,0.614615138325615,0.8592057761732852,0.07969151670951156,0.238
2017,Random Forest,0.5990990990990991,0.5884769281682546,0.6117254275983036,0.4729241877256318,0.3496143958868895,0.471
2018,Dummy Baseline,0.5896084337349398,0.37091425864519184,0.5,1.0,0.0,0.001
2018,Logistic Regression,0.5978915662650602,0.5881735316800312,0.6101069750547763,0.45871559633027525,0.36270753512132825,0.012
2018,Decision Tree,0.5978915662650602,0.5843149759903962,0.5904237993133913,0.4917431192660551,0.3397190293742018,0.019
2018,K-Nearest Neighbors,0.5971385542168675,0.46762938169088064,0.5806894208349445,0.8733944954128441,0.07535121328224777,0.217
2018,Random Forest,0.6031626506024096,0.5782107029962242,0.6047008096359567,0.5614678899082569,0.2822477650063857,0.443
2019,Dummy Baseline,0.5433866891322662,0.35207423580786024,0.5,1.0,0.0,0.001
2019,Logistic Regression,0.5678180286436394,0.5646030037931737,0.5881032066134615,0.47232472324723246,0.3984496124031008,0.013
2019,Decision Tree,0.5627632687447346,0.5564150474688672,0.587944449211934,0.514760147601476,0.37209302325581395,0.019
2019,K-Nearest Neighbors,0.5560235888795282,0.4545383994942559,0.5825924654595382,0.8634686346863468,0.09147286821705426,0.197
2019,Random Forest,0.5669755686604886,0.5607780068649358,0.5818844932635372,0.5092250922509225,0.3689922480620155,0.451
2020,Dummy Baseline,0.5452991452991452,0.3528761061946903,0.5,1.0,0.0,0.001
2020,Logistic Regression,0.5675213675213675,0.5636645047169812,0.5918901878520754,0.4793233082706767,0.3934169278996865,0.013
2020,Decision Tree,0.5572649572649573,0.5563198397638625,0.5782034435618827,0.43796992481203006,0.44670846394984326,0.02
2020,K-Nearest Neighbors,0.5709401709401709,0.4760084789311408,0.561865085912273,0.8402255639097744,0.08620689655172414,0.205
2020,Random Forest,0.576068376068376,0.5687905150557737,0.5899427251514366,0.5093984962406015,0.35266457680250785,0.516
2021,Dummy Baseline,0.5497382198952879,0.3547297297297297,0.5,1.0,0.0,0.002
2021,Logistic Regression,0.5804038893044129,0.5778495941754425,0.5961963522950708,0.4418604651162791,0.4013605442176871,0.018
2021,Decision Tree,0.5818997756170531,0.5679789637849002,0.5951476936289466,0.553156146179402,0.3074829931972789,0.025
2021,K-Nearest Neighbors,0.5587135377711294,0.47754066656069516,0.5876793906931543,0.8172757475083057,0.13333333333333333,0.253
2021,Random Forest,0.5863874345549738,0.5827988260872263,0.5958031052952742,0.45182724252491696,0.38231292517006804,0.55
2022,Dummy Baseline,0.6105476673427992,0.3790931989924433,0.5,1.0,0.0,0.001
2022,Logistic Regression,0.5334685598377282,0.5271476230191826,0.5562015503875969,0.4635416666666667,0.4684385382059801,0.017
2022,Decision Tree,0.537525354969574,0.5189008731381612,0.5411648671096346,0.5625,0.39867109634551495,0.025
2022,K-Nearest Neighbors,0.6085192697768763,0.4946758509344479,0.5471951135105204,0.828125,0.11295681063122924,0.131
2022,Random Forest,0.5436105476673428,0.5362764156267636,0.5674833887043189,0.4635416666666667,0.45182724252491696,0.546
